Descrizione;k;k_packaging
Code Mazzancolle Tropicali Medie;2.59;
Code Mazzancolle Tropicali Precotte Grandi;2.59;
Code Mazzancolle Tropicali Precotte Medie;2.59;
Coglioni Di Mulo;1;
Colli Euganei;1;
Collina Veneta;1;
Collo Tacchino;1;
Comt├¿;1;
Coniglio In Parti / A Pezzi;1;
Coniglio In Parti / A Pezzi Condito;1;
Coniglio Intero;1;
Conte Sardo;1;
Controfiletto A Fette Argentina B.A.;1;
Controfiletto A Fette B.A.;0.14;
Controfiletto A Fette Black Angus B.A.;1;
Controfiletto A Fette Chianina B.A.;1;
Controfiletto A Fette Danese B.A.;1;
Controfiletto A Fette Piemontese B.A.;0.14;
Controfiletto A Fette Pollo;1;
Controfiletto A Fette Scottona B.A.;1;
Controfiletto A Pezzi Pollo;1;
Controfiletto Equino;1;
Controfiletto Puledro;1;
Coppa / Lonza / Capocollo;1;
Coppa / Lonza / Capocollo Di Suino Nero;1;
Coppa / Lonza / Capocollo Di Zibello;1;
Coppa / Lonza / Capocollo Piccante;1;
Coppa A Fette Senza Osso Cinghiale;1;
Coppa A Fette Senza Osso Suino;1.2;
Coppa A Tranci Senza Osso Cinghiale;1;
Coppa A Tranci Senza Osso Suino;1.2;
Coppa Di Parma;1;
Coppa Di Testa;1;
Coppa Piacentina;1;
Coppiette Secche;1;
Coppiette Suino;1;
Corallina;1;
Coratella Abbacchio;1;
Cordon Bleu Di Pollo E Tacchino ;1;
Cordon Bleu Di Pollo Gastronomia;1;
Cordon Bleu Pollo;1;
Cordon Bleu Pollo ;1;
Cordon Bleu Pollo Con Funghi;1;
Cordon Bleu Suino;1;
Cordon Bleu Tacchino;1;
Cordon Bleu Tacchino Alla Pizzaiola;1;
Coriandolo;1;
Cornetto Con Albicocca;1;
Cornetto Con Cioccolata;1;
Cornetto Integrale;1;
Cornetto Semplice / Vuoto;1;
Corno D'Abruzzo;1;
Corvina;1;
Cosacavaddu Stagionato;1;
Cosce / Fusi  Di Pollo Gastronomia;1;
Cosce / Fusi Di Pollo Campese Gastronomia;1;
Cosce Coniglio;1;
Cosce Quaglia;1;
Coscia / Cosciotto Disossato Pollo;1;
Coscia / Cosciotto Pollo;6.59;
Coscia Anatra;1;
Coscia Cinghiale;1;
Coscia Maialino;1;
Coscia Suino;1;
Coscia Vitello;1;
Coscio Abbacchio;1;
Coscio Agnello;1;
Coscio Pecora;1;
Coscio Tacchino;0.99;
Costardella;1;
Costata Cinghiale;1;
Costata Con Osso Scottona B.A.;1;
Costine / Costolette / Cotolette Agnello;1;
Costine / Costolette Abbacchio;1;
Costine / Costolette Agnello;1;
Costine / Costolette Pecora;1;
Costine / Costolette Vitello;1;
Costine / Puntine / Spuntature Cinghiale;1;
Costine / Puntine / Spuntature Gastronomia;1;
Costine / Puntine / Spuntature Suino;7.6;
Cotechino;1;
Cotechino Suino;1;
Cotenna Suino;1;
Cotoletta Di Merluzzo;1;
Cotoletta Di Pangasio;1;
Cotoletta Di Pesce Spada;1;
Cotoletta Impanata B.A.;1;
Cotoletta Impanata Suino;1;
Cotoletta Integrale Pollo;1;
Cotoletta Pollo;1;
Cotoletta Tacchino;1;
