descrizione;descrizione_bis
CarrÚ Suino;Carré Suino
CarrÚ Vitello;Carré Vitello
Cervella B.A.;Cervella B.A.
Cervella Vitello;Cervella Vitello
Chicchi Di Suino;Chicchi Di Suino
Chicchi Suino;Chicchi Suino
Chicchi Vitello;Chicchi Vitello
Ciccioli / Greppole Suino;Ciccioli / Greppole Suino
Cipollata B.A.;Cipollata B.A.
Cipollata Suino;Cipollata Suino
Coda B.A.;Coda B.A.
Coda Suino;Coda Suino
Coda Vitello;Coda Vitello
Collo Tacchino;Collo Tacchino
Coniglio In Parti / A Pezzi;Coniglio In Parti / A Pezzi
Coniglio In Parti / A Pezzi Condito;Coniglio In Parti / A Pezzi Condito
Coniglio Intero;Coniglio Intero
Controfiletto A Fette Argentina B.A.;Controfiletto A Fette Argentina B.A.
Controfiletto A Fette B.A.;Controfiletto A Fette B.A.
Controfiletto A Fette Black Angus B.A.;Controfiletto A Fette Black Angus B.A.
Controfiletto A Fette Chianina B.A;Controfiletto A Fette Chianina B.A
Controfiletto A Fette Chianina B.A.;Controfiletto A Fette Chianina B.A.
Controfiletto A Fette Danese B.A.;Controfiletto A Fette Danese B.A.
Controfiletto A Fette Irlandese B.A.;Controfiletto A Fette Irlandese B.A.
Controfiletto A Fette Piemontese B.A;Controfiletto A Fette Piemontese B.A
Controfiletto A Fette Piemontese B.A.;Controfiletto A Fette Piemontese B.A.
Controfiletto A Fette Pollo;Controfiletto A Fette Pollo
Controfiletto A Fette Scottona B.A;Controfiletto A Fette Scottona B.A
Controfiletto A Fette Scottona B.A.;Controfiletto A Fette Scottona B.A.
Controfiletto A Pezzi Pollo;Controfiletto A Pezzi Pollo
Controfiletto Equino;Controfiletto Equino
Controfiletto Puledro;Controfiletto Puledro
Coppa A Fette Senza Osso Cinghiale;Coppa A Fette Senza Osso Cinghiale
Coppa A Fette Senza Osso Suino;Coppa A Fette Senza Osso Suino
Coppa A Tranci Senza Osso Cinghiale;Coppa A Tranci Senza Osso Cinghiale
Coppa A Tranci Senza Osso Suino;Coppa A Tranci Senza Osso Suino
Coppiette Suino;Coppiette Suino
Coratella Abbacchio;Coratella Abbacchio
Cordon Bleu Di Pollo E Tacchino;Cordon Bleu Di Pollo E Tacchino 
Cordon Bleu Pollo;Cordon Bleu Pollo
Cordon Bleu Pollo ( Speck E Formaggio );Cordon Bleu Pollo
Cordon Bleu Pollo Alla Pizzaiola;Cordon Bleu Pollo 
Cordon Bleu Pollo Con Funghi;Cordon Bleu Pollo Con Funghi
Cordon Bleu Suino;Cordon Bleu Suino
Cordon Bleu Tacchino;Cordon Bleu Tacchino
Cordon Bleu Tacchino Alla Pizzaiola;Cordon Bleu Tacchino Alla Pizzaiola
Cosce Coniglio;Cosce Coniglio
Cosce Quaglia;Cosce Quaglia
Coscia / Cosciotto Disossato Pollo;Coscia / Cosciotto Disossato Pollo
Coscia / Cosciotto Pollo;Coscia / Cosciotto Pollo
Coscia Anatra;Coscia Anatra
Coscia Maialino;Coscia Maialino
Coscia Suino;Coscia Suino
Coscia Vitello;Coscia Vitello
Coscio Abbacchio;Coscio Abbacchio
Coscio Agnello;Coscio Agnello
Coscio Pecora;Coscio Pecora
Coscio Tacchino;Coscio Tacchino
Cosciotto Disossato Pollo;Cosciotto Disossato Pollo
Costata Con Osso Piemontese B.A.;Costata Con Osso Piemontese B.A.
Costata Con Osso Scottona B.A.;Costata Con Osso Scottona B.A.
Costine / Costolette / Cotolette Agnello;Costine / Costolette / Cotolette Agnello
Costine / Costolette Abbacchio;Costine / Costolette Abbacchio
Costine / Costolette Agnello;Costine / Costolette Agnello
Lombatine Agnello;Costine / Costolette Agnello
Costine / Costolette Pecora;Costine / Costolette Pecora
Costine / Costolette Vitello;Costine / Costolette Vitello
Costine / Puntine / Spuntature Cinghiale;Costine / Puntine / Spuntature Cinghiale
